曲名,PACK,カテゴリ,アーティスト,BPM,実装日,4N,4H,4M,4S,5N,5H,5M,5S,6N,6H,6M,6S,8N,8H,8M,8S,備考
2Nite,標準,RESPECT,ND Lee,110,2019/12/19,3,6,-,-,4,9,-,-,3,8,-,-,4,8,-,-,
Airlock,標準,RESPECT,XeoN,150,2022/04/28,5,9,13,13,5,9,14,12,4,7,13,13,5,10,14,14,シリーズ(TAPSONIC BOLD扱い/初出はBMS(KBP2010))
ALiCE,TECHNIKA 3,RESPECT,seibin,145,2020/09/24,4,8,12,-,5,9,11,9,5,9,11,11,5,10,12,-,
Alone [Nauts],標準,RESPECT,Nauts,115,2021/12/02,6,9,-,5,5,8,12,-,5,8,12,-,5,8,12,5,シリーズ(DJMAX RAY)
Alone [Marshmello],標準,RESPECT,Marshmello,142,2019/12/19,6,10,-,-,4,8,-,-,5,8,12,-,5,8,12,-,版権(Marshmello)
Always,標準,RESPECT,YUGI / Mool,135,2019/12/19,4,7,-,-,6,9,-,-,5,10,-,-,6,10,-,-,NEOWIZ(Yogurting)
ANALYS,BLACK SQUARE,RESPECT,HAYAKO,170,2020/05/28,7,11,14,-,7,11,-,14,7,11,14,12,8,11,14,13,
Angelic Tears,標準,RESPECT,SHIKI,146,2022/06/23,5,9,12,6,5,9,12,7,4,8,12,9,5,8,13,12,シリーズ(DJMAX Online)
Armored Phantom,標準,RESPECT,ned,151,2019/12/19,3,7,-,-,6,11,-,-,7,9,12,-,6,11,-,-,NEOWIZ(WILD GEAR)
Aurora Borealis,標準,RESPECT,Electronic Boutique,153,2022/03/17,5,9,14,-,5,9,13,-,7,11,-,13,6,-,13,11,シリーズ(DJMAX Online)
Beautiful Day,標準,RESPECT,ND Lee,83,2019/12/19,3,6,8,-,4,8,-,-,2,8,-,-,4,8,-,-,
Beyond Yourself,標準,RESPECT,Mycin.T,90,2019/12/19,6,9,-,-,6,10,-,12,7,9,12,12,6,11,-,-,NEOWIZ(WILD GEAR)
Binary World,標準,RESPECT,Tsukasa,182,2019/12/19,5,8,13,-,5,7,13,12,9,12,13,-,5,7,13,10,
BlackCat,標準,RESPECT,BEXTER,130,2019/12/19,5,12,-,-,6,11,-,5,5,8,12,6,7,12,-,-,
Bleed,標準,RESPECT,Axol & The Tech Thieves,145,2020/01/02,3,5,-,-,5,9,-,-,5,9,-,-,5,9,-,-,版権(NCS楽曲)
Boom!,標準,RESPECT,BEXTER,175,2019/12/19,4,8,12,-,6,8,12,10,5,9,13,-,6,10,13,8,RESPECT V オープニング
Bullet Wanted!,標準,RESPECT,Mycin.T,150,2019/12/19,4,8,-,5,7,10,-,-,6,9,11,9,7,11,-,-,NEOWIZ(WILD GEAR)
Chemical Slave,標準,RESPECT,XeoN,150,2020/06/18,5,11,-,10,6,-,11,-,6,12,-,11,3,8,14,-,シリーズ(TAPSONIC)
Child of Night,標準,RESPECT,GOTH,130,2019/12/19,6,8,-,11,7,9,12,-,7,10,12,11,7,9,12,-,
comet,標準,RESPECT,Mycin.T,109,2020/06/24,3,8,-,-,5,9,-,-,6,10,-,-,5,11,-,-,シリーズ(TAPSONIC TOP)
Dance of the Dead,標準,RESPECT,GOTH,154,2021/01/28,6,9,-,11,6,12,14,-,6,11,14,-,6,12,14,12,シリーズ(TAPSONIC WORLD CHAMPION)
Daylight,標準,RESPECT,CROOVE,165,2022/04/28,6,10,14,15,6,10,14,13,6,11,14,13,6,11,14,13,シリーズ(DJMAX RAY)
Do you want it,TECHNIKA,RESPECT,House Rulez,123,2020/09/24,5,8,-,-,7,9,-,4,5,9,-,8,5,11,-,-,
Don't Die,標準,RESPECT,Paul Bazooka,175,2019/12/19,5,10,13,11,7,10,14,-,8,11,14,12,7,10,14,-,
End of Mythology,TECHNIKA 2,RESPECT,Alice Schach and the Magic Orchestra,123,2020/09/24,3,8,12,-,4,-,12,4,5,8,12,5,4,7,12,-,
Enter The Universe,標準,RESPECT,GOTH,162,2019/12/19,6,9,12,-,7,10,15,13,9,12,14,13,7,10,14,-,
Far East Princess,標準,RESPECT,Nauts,102,2019/12/19,5,7,10,5,5,10,-,8,3,9,10,-,5,9,-,-,
Flowering,標準,RESPECT,ampstyle,148,2021/09/14,6,9,13,-,7,13,-,11,7,10,13,11,7,11,13,11,版権(Dareharu)
Fly Away,標準,RESPECT,XeoN,140,2019/12/19,3,10,-,7,6,10,-,8,4,-,11,9,6,10,-,9,TECHNIKA Q
Get Jinxed,標準,RESPECT,Agnete K,180,2020/01/09,5,8,13,-,5,8,12,7,5,9,11,7,5,8,12,7,コラボ(League of Legends)
Ghost Voices,標準,RESPECT,Virtual Self,120,2019/12/26,4,9,-,-,5,11,-,-,6,10,-,-,6,11,-,-,版権(Porter Robinson)
glory day,標準,RESPECT,BEXTER x Mycin.T,162,2019/12/19,8,10,-,4,7,10,-,-,6,11,-,6,7,10,-,4,
glory day (Mintorment Remix),PORTABLE 3,RESPECT,Mintorment,170,2021/04/19,7,-,14,-,6,12,14,-,7,-,13,11,7,14,-,12,RESPECT3周年記念公募採用曲
glory day -JHS Remix-,PORTABLE 3,RESPECT,JHS,178,2021/04/19,5,9,12,9,6,11,13,-,6,10,13,-,6,11,13,12,RESPECT3周年記念公募採用曲
Grid System,標準,RESPECT,Tsukasa,146,2021/03/12,5,9,14,-,4,9,13,10,6,-,13,12,5,9,13,-,シリーズ(DJMAX Online)
Groovin Up,標準,RESPECT,Mycin.T,120,2019/12/19,3,6,-,-,5,9,-,-,5,8,11,-,5,9,-,-,
Heavenly,標準,RESPECT,makou,125,2019/12/19,5,7,-,-,4,8,-,-,5,9,12,-,4,9,-,-,
I want You ~Twinkle Twinkle Sunshine~,標準,RESPECT,Studuo LAY-BACK,165,2020/08/06,3,7,12,-,6,9,12,-,5,10,12,10,6,10,12,5,NEOWIZ相互コラボ(BrownDust)
Karma,標準,RESPECT,ampstyle,132,2021/01/28,5,-,12,-,6,10,-,10,5,9,13,10,5,10,13,-,版権(Dareharu)
KILLER BEE,標準,RESPECT,GOTH,116-155,2019/12/19,4,6,11,13,7,11,-,-,8,9,13,-,7,13,-,10,
Kingdom,標準,RESPECT,Phantom Sage,120,2020/01/02,5,-,11,-,5,7,-,-,5,-,8,-,6,11,-,-,版権(NCS楽曲)
Kung Brother,標準,RESPECT,Paul Bazooka,145,2019/12/19,6,9,-,-,6,11,-,-,8,10,13,-,6,11,-,-,
Liar,標準,RESPECT,zts,140,2019/12/19,6,9,-,11,8,12,-,-,8,10,13,11,8,13,-,-,シリーズ(DJMAX TECHNIKA Qで先行実装)
Lift You Up,標準,RESPECT,makou,88,2019/12/19,2,5,-,-,4,7,-,-,3,7,-,-,4,7,-,-,
Mulch,標準,RESPECT,Sampling Masters MEGA,200,2019/12/19,6,12,-,-,7,-,14,14,8,12,14,13,7,-,15,-,
NB RANGER - Virgin Force,標準,RESPECT,NieN,198,2019/12/19,5,10,-,12,7,12,15,-,7,12,14,12,7,11,15,-,
NEON 1989 (ESTi Remix),標準,RESPECT,OREO,120,2019/12/19,4,7,-,-,3,7,-,-,4,7,-,5,5,9,-,4,版権(ESTIMATE)
Nevermind,TRILOGY,RESPECT,Paul Bazooka,142,2020/04/14,7,10,13,-,7,11,-,13,7,10,13,13,6,10,15,-,
Only for you,標準,RESPECT,NieN,122,2019/12/19,1,4,9,3,5,7,10,-,4,7,11,3,5,7,10,3,
OPEN FIRE,標準,RESPECT,JC,140,2019/12/19,4,7,-,-,4,8,-,-,5,7,-,-,5,8,-,-,
OrBiTal,標準,RESPECT,Paul Bazooka,130,2022/04/28,4,7,13,12,5,10,14,10,5,10,13,12,7,10,14,12,シリーズ(DJMAX RAY)
Over Your Dream,標準,RESPECT,xxdbxx,174,2019/12/19,5,11,-,-,5,11,-,-,5,10,11,-,7,12,-,-,シリーズ(DJMAX TRILOGYオープニング)
POP/STARS,標準,RESPECT,K/DA,170,2020/01/09,5,9,12,-,5,8,12,9,5,8,11,6,5,9,13,8,コラボ(League of Legends)
quixotic,標準,RESPECT,bermei.inazawa,174,2019/12/19,7,12,-,11,7,11,-,-,6,-,13,11,7,11,13,-,
Relation Again (ESTi's Remix),標準,RESPECT,Tsukasa / ESTi,135,2021/08/30,4,8,-,5,5,9,13,-,5,11,-,8,6,-,12,-,シリーズ(DJMAX Online)
Remains Of Doom,標準,RESPECT,NieN,124,2019/12/19,7,13,-,-,6,9,14,14,9,12,15,-,6,10,13,12,
Rising The Sonic,Clazziquai Edition,RESPECT,Dayz,137,2020/05/28,4,9,12,-,5,10,13,7,5,9,13,11,5,10,14,-,
RockSTAR,標準,RESPECT,Mr.Funky,126,2020/06/18,5,9,-,-,4,11,-,-,4,11,-,-,3,7,13,-,シリーズ(TAPSONIC)
Royal Clown,標準,RESPECT,bermei.inazawa,143-164,2019/12/19,6,8,14,-,7,11,-,10,7,10,13,11,7,10,14,-,
Runaway,標準,RESPECT,LeeZu,140,2019/12/19,6,10,-,-,8,11,-,11,9,11,12,11,8,13,-,-,
Running girl,標準,RESPECT,Mycin.T,170,2019/12/19,5,7,-,4,5,9,-,-,4,10,12,6,6,10,-,-,
Ruti'n (GOTH Wild Electro Remix),標準,RESPECT,GOTH,112,2019/12/19,6,10,-,-,4,10,-,-,7,10,13,-,7,12,-,-,NEOWIZ(WILD GEAR)
Sad Machine,標準,RESPECT,Porter Robinson,177,2019/12/26,3,5,8,-,5,7,10,3,4,7,10,3,5,7,10,-,版権(Porter Robinson)
Secret Dejavu,標準,RESPECT,DINY,160,2019/12/19,4,6,10,9,5,10,-,-,6,8,11,11,5,10,-,-,
Shadow Flower,標準,RESPECT,ned,142,2019/12/19,3,6,-,-,6,9,-,-,5,11,-,5,6,9,-,-,
So Happy,標準,RESPECT,Raven & Kreyn,126,2020/01/02,5,-,10,5,5,9,-,-,4,7,11,-,5,10,12,8,版権(NCS楽曲)
Soar ~Stay With Me~,標準,RESPECT,Mycin.T,142,2019/12/19,4,7,-,-,6,10,-,-,6,10,11,-,7,11,-,-,"NEOWIZ(WILD GEAR),以前のPS4版での表記は「飛翔~Stay With Me~」"
SOUL LADY,標準,RESPECT,ESTi,120,2021/08/19,5,8,12,-,6,-,12,5,5,8,12,5,5,11,13,9,版権(ESTIMATE)
Techno Racer,TECHNIKA TUNE & Q,RESPECT,Paul Bazooka,142,2022/07/28,6,10,12,11,5,8,11,10,5,8,12,11,7,11,13,13,
The Feelings,標準,RESPECT,Supbaby,130,2019/12/19,5,7,-,-,6,9,-,-,6,10,-,-,6,10,-,-,
The Lost Story,標準,RESPECT,NEOWIZ Bless Soundteam,70,2019/12/19,1,4,-,-,4,8,-,-,2,7,-,-,4,7,-,-,NEOWIZ(BLESS)
The Obliterator,標準,RESPECT,GOTH,186,2019/12/19,5,8,-,8,7,11,-,-,8,-,13,-,7,11,-,10,NEOWIZ(WILD GEAR)
To Be With You,標準,RESPECT,STARTRACK,130,2022/03/17,4,7,10,3,6,8,11,3,5,8,-,-,4,10,-,-,シリーズ(TAPSONIC TOP)
Tok! Tok! Tok!,標準,RESPECT,STARTRACK,178,2019/12/19,4,7,-,-,4,7,-,-,4,6,10,4,5,8,11,8,シリーズ(TAPSONIC TOP)
U.A.D,標準,RESPECT,HAYAKO,129,2019/12/19,3,6,-,11,5,10,-,10,6,8,11,-,8,-,12,5,
v o l d e n u i t,標準,RESPECT,Cuve,105,2019/12/19,5,9,12,13,4,9,12,-,5,9,12,13,6,9,13,-,
Void,標準,RESPECT,Kobayashi Tetsuya,127,2019/12/19,3,7,11,-,5,11,-,-,5,10,-,-,5,11,-,-,NEOWIZ(BrownDust)
waiting for me,標準,RESPECT,Croove,150,2019/12/19,3,8,-,-,4,8,-,-,4,9,-,-,5,9,-,-,
Waiting for you,標準,RESPECT,Mycin.T,175,2019/12/19,4,8,-,7,6,10,-,-,6,12,-,9,7,11,-,-,
Watch Your Step,標準,RESPECT,XeoN,130,2020/06/18,4,-,12,-,5,8,-,9,3,-,10,9,3,6,13,-,シリーズ(TAPSONIC)
We're All Gonna Die,標準,RESPECT,Paul Bazooka,180,2019/12/19,8,12,14,-,8,13,-,15,11,13,15,14,8,13,15,-,
WHY,標準,RESPECT,Nauts,84,2019/12/19,3,7,-,-,5,10,-,-,2,7,10,-,4,7,-,-,
風にお願い,標準,PORTABLE 1,Forte Escape,108,2019/12/19,1,7,-,-,6,7,-,-,3,7,9,-,4,8,-,-,
風にお願い ~Live Mix~,標準,PORTABLE 1,Forte Escape,210,2019/12/19,5,-,12,11,6,10,-,-,7,11,-,-,7,-,13,7,
A.I,標準,PORTABLE 1,Forte Escape,138,2019/12/19,4,9,-,-,8,12,-,8,7,11,13,-,8,10,-,9,
Astro Fight,標準,PORTABLE 1,Forte Escape,183,2019/12/19,8,13,-,-,8,11,-,13,7,13,14,-,8,12,-,11,
BlythE,標準,PORTABLE 1,M2U,170,2019/12/19,6,10,14,-,6,11,-,12,8,11,14,12,7,-,14,-,
Bright Dream,標準,PORTABLE 1,M2U,130,2019/12/19,2,4,-,-,5,8,-,-,4,7,10,-,6,9,-,-,
Can We Talk,標準,PORTABLE 1,Forte Escape,125,2019/12/19,1,7,-,-,7,9,13,-,5,8,11,-,8,9,13,-,
Catch Me,標準,PORTABLE 1,Forte Escape,145,2019/12/19,3,6,-,-,6,-,-,5,7,8,-,-,8,12,-,6,
Chrono Breakers,標準,PORTABLE 1,NieN,178,2019/12/19,5,7,11,6,7,10,-,-,7,12,-,6,8,12,-,-,
CnP,標準,PORTABLE 1,CrooFE,127,2019/12/19,3,8,12,-,4,9,12,8,4,9,12,-,5,10,12,7,
Dreadnought,標準,PORTABLE 1,EarBreaker,140,2019/12/19,6,9,12,11,8,11,-,-,8,-,13,11,8,13,-,-,
Elastic STAR,標準,PORTABLE 1,Forte Escape,132,2019/12/19,4,7,-,-,6,7,-,-,4,8,-,-,4,7,-,-,
End of the Moonlight,標準,PORTABLE 1,Forte Escape,155,2019/12/19,3,7,10,-,5,9,-,8,5,9,12,8,7,11,-,-,
Enemy Storm,標準,PORTABLE 1,Croove,133,2019/12/19,2,5,13,9,5,8,-,-,6,8,11,-,5,10,14,8,
Eternal Memory,標準,PORTABLE 1,M2U,125,2019/12/19,2,6,-,-,3,9,-,-,2,7,-,-,5,7,-,-,
Every Morning,標準,PORTABLE 1,ND Lee,150,2019/12/19,4,8,-,-,8,9,-,-,6,9,-,-,8,10,-,-,
Extreme Z4,標準,PORTABLE 1,Forte Escape,152,2019/12/19,3,7,-,12,4,8,-,11,7,9,-,-,8,12,-,-,
FEAR,標準,PORTABLE 1,Supbaby,182,2019/12/19,4,9,-,-,5,9,12,-,6,12,-,9,8,11,12,-,
Fever GJ,標準,PORTABLE 1,xxdbxx,98,2019/12/19,3,7,-,-,3,6,-,-,3,7,9,-,7,-,-,-,
FTR,標準,PORTABLE 1,Supbaby,140,2019/12/19,6,10,-,-,5,10,-,8,8,11,-,-,7,11,-,5,
Funky Chups,標準,PORTABLE 1,Forte Escape,127,2019/12/19,4,8,-,-,5,10,-,-,4,6,-,-,7,-,-,-,
Futurism,標準,PORTABLE 1,Forte Escape,142,2019/12/19,4,8,-,-,7,9,-,8,6,8,11,-,8,10,-,8,
HAMSIN,標準,PORTABLE 1,makou,150,2019/12/19,9,-,15,15,6,9,13,-,9,12,14,-,6,9,14,10,
JBG,標準,PORTABLE 1,Croove,102,2019/12/19,7,11,-,-,7,11,-,11,7,10,12,10,12,-,-,-,
Jupiter Driving,標準,PORTABLE 1,xxdbxx,144,2019/12/19,5,9,-,6,5,11,-,-,5,8,-,7,7,12,-,-,
KUDA,標準,PORTABLE 1,Gonzo,126,2019/12/19,8,11,-,8,5,9,-,-,8,12,-,11,10,-,-,-,
Lemonade,標準,PORTABLE 1,M2U,195,2019/12/19,8,-,-,8,6,13,-,-,7,10,-,10,8,13,-,-,
Let's Go Baby,標準,PORTABLE 1,3rd Coast,108,2019/12/19,2,5,-,-,6,8,-,-,3,7,10,-,9,-,-,-,
Light House,標準,PORTABLE 1,xxdbxx,162,2019/12/19,4,9,-,9,4,11,-,-,6,8,11,-,7,12,-,12,
Long Vacation,標準,PORTABLE 1,ESTi,138,2019/12/19,4,8,-,-,3,6,-,4,5,9,-,-,7,-,-,4,
Luv Flow,標準,PORTABLE 1,3rd Coast,115,2019/12/19,1,5,-,-,3,6,-,-,1,5,-,-,6,8,-,-,
MASAI,標準,PORTABLE 1,Croove,128,2019/12/19,4,7,11,-,5,8,12,11,7,10,12,-,10,-,-,9,
Memory of Beach,標準,PORTABLE 1,M2U,130,2019/12/19,6,11,-,-,7,12,-,4,6,9,12,-,8,-,13,3,
Minimal Life,標準,PORTABLE 1,EarBreaker,145,2019/12/19,5,7,-,12,7,9,-,11,8,12,-,-,8,10,14,-,
NB RANGER,標準,PORTABLE 1,M2U,140,2019/12/19,8,12,-,-,7,12,-,11,7,10,13,12,9,13,-,-,
Never Say,標準,PORTABLE 1,ND Lee,90,2019/12/19,3,6,-,-,6,7,-,9,2,7,12,-,8,-,-,8,
OBLIVION,標準,PORTABLE 1,ESTi,141,2019/12/19,3,6,11,9,7,-,11,11,3,8,11,-,6,12,-,9,
OBLIVION ~Rockin' Night Style~,標準,PORTABLE 1,NieN,141,2019/12/19,3,8,12,-,4,10,13,12,7,9,13,-,6,10,14,11,
ON,標準,PORTABLE 1,ND Lee,72,2019/12/19,3,5,-,-,2,6,-,-,6,10,-,-,7,-,-,-,
One the Love,標準,PORTABLE 1,xxdbxx,125,2019/12/19,2,5,-,4,6,8,-,-,3,6,11,8,7,8,-,-,
Out Law,標準,PORTABLE 1,Croove,126,2019/12/19,5,12,-,-,7,12,-,9,7,11,13,9,8,12,-,-,
Para-Q,標準,PORTABLE 1,Forte Escape,160,2019/12/19,3,10,-,-,6,8,-,-,7,10,-,12,10,-,-,12,
Piano Concerto No.1,標準,PORTABLE 1,WavFactory,156,2019/12/19,5,10,-,-,7,11,-,12,7,11,-,12,7,11,-,-,
Ray of Illuminati,標準,PORTABLE 1,ESTi,150,2019/12/19,4,7,13,-,6,8,13,11,7,10,13,-,8,11,-,7,
RED,標準,PORTABLE 1,Croove,128,2019/12/19,4,6,-,-,5,13,-,-,6,9,12,-,8,13,-,-,
REVENGE,標準,PORTABLE 1,ND Lee,120,2019/12/19,5,-,11,-,3,7,-,10,8,12,-,-,10,-,-,9,
Road Of Death,標準,PORTABLE 1,NieN,180,2019/12/19,4,9,-,12,7,13,-,13,8,11,15,-,7,14,-,15,
Rock Or Die,標準,PORTABLE 1,NieN,106,2019/12/19,6,-,-,12,6,9,-,-,6,10,12,-,6,9,-,11,
Save My Dream,標準,PORTABLE 1,Forte Escape,125,2019/12/19,1,4,-,-,2,4,-,-,2,5,9,-,5,8,-,-,
SIN,標準,PORTABLE 1,ESTi,190,2019/12/19,3,6,11,12,7,10,-,12,7,10,14,-,9,12,15,-,
SIN ~The Last Scene~,標準,PORTABLE 1,ESTi,200,2019/12/19,7,12,14,12,7,12,-,-,8,12,14,12,8,14,-,-,
Sunny Side,標準,PORTABLE 1,Croove,112,2019/12/19,4,8,-,-,5,9,-,-,5,8,11,-,9,-,-,-,
Sunny Side ~Deepn' Soul Mix~,標準,PORTABLE 1,makou,122,2019/12/19,7,10,-,5,7,11,-,-,7,-,11,5,8,10,-,-,
Temptation,標準,PORTABLE 1,S-TRO,136,2019/12/19,4,10,-,-,4,10,-,-,6,-,12,-,9,-,-,-,
